Respondent ID,Age,Residency type,Residency name,Occupation,Reading,Cooking,Wachting sports on tv,Travel,Health & Fitness,Size,Rugged Delicate,Exitable Calm,Uncomfortable Comfortable,Dominating Submissive,Thrifty Indulgent,Pleasant Unpleasant,Contemporary Uncontemporary,Organized Unorganized,Rational Emotional,Youthful Mature,Formal Informal,Orthodox Liberal,Complex Simple,Colorful Colorless,Modest Vain
13238219369,23,"Village, City",Amsterdam ,Student,4,2,3,1,5,38.0,4.0,1.0,5.0,1.0,2.0,4.0,4.0,7.0,2.0,4.0,3.0,5.0,1.0,3.0,3.0
13237370495,21,City,Breda,Work,4,3,5,1,2,36.0,5.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,5.0,5.0,6.0,4.0,5.0,5.0,3.0
13237575480,21,City,Bergen op zoom,Student,1,3,2,5,4,34.0,2.0,2.0,6.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,4.0,5.0,4.0,3.0
13237562564,21,City,Bergen op Zoom,Work,5,4,2,1,3,,3.0,2.0,5.0,3.0,5.0,1.0,1.0,4.0,2.0,5.0,5.0,6.0,5.0,4.0,3.0
13237317993,22,Village,Oisterwijk,Student,5,1,4,2,3,38.0,3.0,4.0,5.0,3.0,2.0,1.0,0.0,0.0,1.0,7.0,6.0,7.0,6.0,7.0,1.0
13263660860,23,Village,Dongen,Student,5,3,4,1,2,38.0,5.0,3.0,2.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,6.0,5.0,3.0,5.0,3.0
13263513849,25,City,Rotterdam,Student,4,2,5,1,3,40.0,2.0,1.0,5.0,2.0,3.0,2.0,1.0,5.0,3.0,2.0,6.0,6.0,2.0,6.0,5.0
13249117061,25,Village,Dongen,Work,2,3,5,1,4,38.0,5.0,6.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0
13245953467,21,Village,Dongen,Student,4,5,1,3,2,38.0,,,,,,,,,,,,,,,
13239748413,30,City,Tilburg,Work,4,1,5,3,2,40.0,4.0,6.0,3.0,6.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,0.0
13239710119,30,City,Tilburg,Work,5,2,1,3,4,38.0,3.0,5.0,6.0,4.0,5.0,1.0,2.0,0.0,2.0,4.0,6.0,5.0,4.0,4.0,1.0
13239676771,30,City,Tilburg,Work,5,2,1,3,4,38.0,4.0,4.0,5.0,3.0,2.0,1.0,3.0,0.0,2.0,5.0,6.0,5.0,5.0,3.0,1.0
13237754403,22,City,Breda,Work,3,5,4,1,2,36.0,4.0,3.0,6.0,4.0,4.0,1.0,1.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0
13237808350,23,Village,Dongen,Work,3,4,5,2,1,38.0,3.0,3.0,5.0,1.0,6.0,1.0,2.0,3.0,4.0,3.0,2.0,5.0,6.0,5.0,4.0
13237797264,23,Village,Dongen,Student,5,2,3,1,4,36.0,3.0,5.0,7.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,5.0,6.0,5.0,5.0,2.0
13237763648,26,City,Utrecht,Work,5,4,2,3,1,38.0,0.0,3.0,3.0,1.0,0.0,3.0,5.0,2.0,2.0,4.0,5.0,6.0,3.0,3.0,3.0
13237765133,24,City,Utrecht,Student,2,4,5,1,3,38.0,3.0,1.0,5.0,3.0,6.0,3.0,2.0,6.0,5.0,6.0,6.0,7.0,7.0,1.0,1.0
13237751174,21,City,Utrecht,Student,4,5,3,1,2,34.0,3.0,3.0,5.0,2.0,5.0,2.0,3.0,5.0,4.0,2.0,5.0,6.0,5.0,5.0,1.0
13237465898,23,City,Utrecht,Work,2,3,5,1,4,36.0,2.0,2.0,6.0,3.0,2.0,1.0,2.0,0.0,2.0,4.0,5.0,6.0,4.0,5.0,1.0
13237529736,24,"Village, City",Utrecht,Student,5,1,2,3,4,36.0,4.0,0.0,4.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,4.0,5.0,3.0,1.0
13237464563,23,City,Utrecht,Work,3,2,5,1,4,,,,,,,,,,,,,,,,
13237445953,24,City,Amsterdam,Student,1,2,5,3,4,40.0,2.0,4.0,4.0,2.0,3.0,1.0,5.0,0.0,2.0,5.0,4.0,4.0,0.0,3.0,3.0
13237375572,21,City,Rotterdam,Student,3,1,5,2,4,42.0,5.0,1.0,3.0,1.0,4.0,3.0,3.0,1.0,4.0,5.0,3.0,4.0,6.0,4.0,4.0
13237356060,23,"Village, City",Rotterdam,Student,2,1,5,4,3,40.0,5.0,6.0,5.0,5.0,5.0,1.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,6.0,1.0
